Product_ID,Product_Name,Category,Subcategory,Price,Stock_Quantity,Description
168,Cello Plastic Containers,Home & Kitchen,Storage,499,160,"5-Piece Set, Microwave safe"
169,Peter England Casual Shirt,Fashion,Men's Clothing,999,170,"Regular Fit, Easy Care"
170,Veet Wax Strips,Beauty,Personal Care,299,200,"For Sensitive Skin"
171,iQOO Z6 5G,Electronics,Smartphones,16999,45,"6.58-inch LCD, 50MP camera"
172,Godrej Air Cooler,Home & Kitchen,Appliances,8999,30,"45L, 3 Speed"
173,Pepe Jeans T-Shirt,Fashion,Men's Clothing,899,160,"Regular Fit, 100% Cotton"
174,Lakme Lip Balm,Beauty,Makeup,149,180,"SPF 15, Moisturizing"
175,Bajaj Toaster,Home & Kitchen,Kitchen Appliances,1199,70,"2 Slice, Automatic Pop-up"
176,Adidas Socks,Fashion,Accessories,399,200,"3-Pair Pack, Cotton"
177,Noise Buds VS104,Electronics,Audio,1999,90,"30hr Playback, ENC"
178,Borosil Dinner Set,Home & Kitchen,Cookware,2999,50,"24-Piece, Microwave safe"
179,Van Heusen Polo T-Shirt,Fashion,Men's Clothing,1099,140,"Pique Cotton, Regular Fit"
180,Nivea Body Lotion,Beauty,Personal Care,249,170,"400ml, Moisturizing"
181,Samsung Galaxy F14 5G,Electronics,Smartphones,13999,55,"6.6-inch LCD, 50MP camera"
182,Havells Iron,Home & Kitchen,Appliances,999,80,"1000W, Non-Stick Soleplate"
183,Allen Solly Casual Shirt,Fashion,Men's Clothing,1299,130,"Regular Fit, Easy Iron"
184,L'Oreal Hair Serum,Beauty,Hair Care,399,120,"Frizz Control, 100ml"
185,Pigeon Hand Blender,Home & Kitchen,Kitchen Appliances,799,100,"300W, 2 Speed"
186,Reebok Socks,Fashion,Accessories,499,180,"3-Pair Pack, Cushioned"
187,Realme Buds Air 3,Electronics,Audio,2999,70,"ANC, 30hr Playback"
188,Milton Lunch Box,Home & Kitchen,Storage,599,150,"3-Compartment, Leak-proof"
189,Blackberrys Casual Shirt,Fashion,Men's Clothing,1499,110,"Slim Fit, Wrinkle-free"
190,VLCC Face Wash,Beauty,Skincare,199,200,"Oil Control, 100ml"
191,Redmi 12 5G,Electronics,Smartphones,12999,60,"6.79-inch LCD, 50MP camera"
192,Orpat Mixer Grinder,Home & Kitchen,Kitchen Appliances,1799,70,"500W, 3 Jars"
193,Arrow Polo T-Shirt,Fashion,Men's Clothing,999,160,"Pique Cotton, Regular Fit"
194,Maybelline Eyeliner,Beauty,Makeup,249,150,"Waterproof, Smudge-proof"
195,Prestige Cookware Set,Home & Kitchen,Cookware,3999,40,"5-Piece, Induction Base"
196,Nike Wristband,Fashion,Accessories,299,200,"Sweat Absorbent, Pack of 2"
197,boAt Rockerz 255 Pro,Electronics,Audio,1299,120,"10mm Drivers, 40hr Playback"
198,Tupperware Water Jug,Home & Kitchen,Storage,799,100,"2L, BPA Free"
199,Peter England Formal Shirt,Fashion,Men's Clothing,1399,140,"Slim Fit, Non-Iron"
200,Dove Soap,Beauty,Personal Care,49,300,"Moisturizing, 100g"
